"time","v","y","der(v)","der(y)","count"
0,0,1,-9.810000000000001,0,0
0.005,-0.04905000000000001,0.9998773728142338,-9.810000000000001,-0.04905000000000001,0
0.01,-0.09809999999999999,0.9995094974916988,-9.810000000000001,-0.09809999999999999,0
0.015,-0.14715,0.9988963722792544,-9.810000000000001,-0.14715,0
0.02,-0.1962,0.9980379971705183,-9.810000000000001,-0.1962,0
0.025,-0.24525,0.9969343720545048,-9.810000000000001,-0.24525,0
0.03,-0.2943,0.9955854969521651,-9.810000000000001,-0.2943,0
0.035,-0.34335,0.9939913718714827,-9.810000000000001,-0.34335,0
0.04,-0.3924,0.9921519968124573,-9.810000000000001,-0.3924,0
0.045,-0.4414499999999999,0.9900673717463796,-9.810000000000001,-0.4414499999999999,0
0.05,-0.4905,0.9877374966820929,-9.810000000000001,-0.4905,0
0.055,-0.53955,0.9851623716249934,-9.810000000000001,-0.53955,0
0.06,-0.5885999999999999,0.9823419965750811,-9.810000000000001,-0.5885999999999999,0
0.065,-0.6376499999999999,0.979276371532356,-9.810000000000001,-0.6376499999999999,0
0.07000000000000001,-0.6867,0.9759654964968182,-9.810000000000001,-0.6867,0
0.075,-0.7357499999999999,0.9724093714684674,-9.810000000000001,-0.7357499999999999,0
0.08,-0.7847999999999999,0.968607996447304,-9.810000000000001,-0.7847999999999999,0
0.08500000000000001,-0.8338500000000001,0.9645613714181508,-9.810000000000001,-0.8338500000000001,0
0.09,-0.8828999999999999,0.9602694963822485,-9.810000000000001,-0.8828999999999999,0
0.095,-0.93195,0.9557323713479485,-9.810000000000001,-0.93195,0
0.1,-0.9810000000000001,0.9509499963152511,-9.810000000000001,-0.9810000000000001,0
0.105,-1.03005,0.9459223712841562,-9.810000000000001,-1.03005,0
0.11,-1.0791,0.9406494962546638,-9.810000000000001,-1.0791,0
0.115,-1.12815,0.9351313712267737,-9.810000000000001,-1.12815,0
0.12,-1.1772,0.9293679962004862,-9.810000000000001,-1.1772,0
0.125,-1.22625,0.9233593711758011,-9.810000000000001,-1.22625,0
0.13,-1.2753,0.9171054961527184,-9.810000000000001,-1.2753,0
0.135,-1.32435,0.9106063711312383,-9.810000000000001,-1.32435,0
0.14,-1.3734,0.9038619961113605,-9.810000000000001,-1.3734,0
0.145,-1.42245,0.8968723710930854,-9.810000000000001,-1.42245,0
0.15,-1.4715,0.8896374960764125,-9.810000000000001,-1.4715,0
0.155,-1.52055,0.8821573710613422,-9.810000000000001,-1.52055,0
0.16,-1.5696,0.8744319960478744,-9.810000000000001,-1.5696,0
0.165,-1.61865,0.8664613710338521,-9.810000000000001,-1.61865,0
