   1,         0,    -6,    -6,     9,     0,  -704,  -465,  1154,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   2,      1000,    -3,    -7,     7,     0,  -370,  -759,  1128,     5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   3,      2000,    -1,    -8,     6,     0,    -7, -1009,  1030,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   4,      3000,     1,    -7,     3,     0,   350, -1153,   817,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   5,      4000,     5,    -5,     0,     0,   667, -1178,   526,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   6,      5000,     6,    -4,    -1,     0,   928, -1078,   162,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   7,      6000,     8,    -1,    -4,     0,  1123,  -888,  -199,     5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   8,      7000,     9,     0,    -6,     0,  1172,  -611,  -538,     8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
   9,      8000,     8,     2,    -7,     0,  1112,  -267,  -831,    10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  10,      9000,     7,     6,    -8,     0,   955,   105, -1051,     9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  11,     10000,     7,     6,    -9,     0,   685,   450, -1163,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  12,     11000,     3,     8,    -7,     0,   355,   769, -1162,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  13,     12000,     1,     9,    -5,     0,     0,  1003, -1046,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  14,     13000,     0,     8,    -3,     0,  -358,  1137,  -826,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  15,     14000,    -4,     6,     0,     0,  -686,  1161,  -524,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  16,     15000,    -6,     4,     1,     0,  -946,  1061,  -175,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  17,     16000,    -8,     1,     4,     0, -1126,   884,   186,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  18,     17000,    -9,     0,     7,     0, -1182,   599,   525,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  19,     18000,    -8,    -2,     8,     0, -1128,   253,   817,    -7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  20,     19000,    -7,    -6,     8,     0,  -969,  -110,  1036,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  21,     20000,    -6,    -6,     9,     0,  -699,  -468,  1147,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  22,     21000,    -3,    -7,     8,     0,  -369,  -773,  1145,     6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  23,     22000,    -1,    -8,     5,     0,    -1, -1013,  1027,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  24,     23000,     1,    -7,     3,     0,   355, -1155,   813,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  25,     24000,     5,    -5,     0,     0,   671, -1177,   521,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  26,     25000,     6,    -4,    -1,     0,   932, -1076,   156,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  27,     26000,     8,    -1,    -4,     0,  1126,  -884,  -205,     5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  28,     27000,     9,     0,    -6,     0,  1172,  -606,  -544,     8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
  29,     28000,     8,     2,    -7,     0,  1110,  -261,  -835,    10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
