"time","Inductor1.i","Inductor2.i","Ldc.i","der(Inductor1.i)","der(Inductor2.i)","der(Ldc.i)","der(Inductor3.i)","Ground1.p.i","Ground1.p.v","IdealDiode1.LossPower","IdealDiode1.i","IdealDiode1.v","IdealDiode2.LossPower","IdealDiode2.i","IdealDiode2.v","IdealDiode3.LossPower","IdealDiode3.i","IdealDiode3.v","IdealDiode4.LossPower","IdealDiode4.i","IdealDiode4.v","IdealDiode5.LossPower","IdealDiode5.i","IdealDiode5.v","IdealDiode6.LossPower","IdealDiode6.i","IdealDiode6.v","Inductor1.p.v","Inductor1.v","Inductor2.p.v","Inductor2.v","Inductor3.p.v","Inductor3.v","Ldc.v","Losses","Rdc.LossPower","Rdc.R_actual","Rdc.v","SineVoltage1.n.v","SineVoltage1.v","SineVoltage2.v","SineVoltage3.v","iAC[1]","iAC[2]","iAC[3]","pDC.power","pDC.product.u1","pDC.voltageSensor.n.i","pDC.voltageSensor.p.i","uAC[1]","uAC[2]","uAC[3]","uDC","IdealDiode1.off","IdealDiode2.off","IdealDiode3.off","IdealDiode4.off","IdealDiode5.off","IdealDiode6.off","IdealDiode1.n.i","IdealDiode1.n.v","IdealDiode1.p.i","IdealDiode1.p.v","IdealDiode2.n.i","IdealDiode2.n.v","IdealDiode2.p.i","IdealDiode2.p.v","IdealDiode3.n.i","IdealDiode3.n.v","IdealDiode3.p.i","IdealDiode3.p.v","IdealDiode4.n.i","IdealDiode4.n.v","IdealDiode4.p.i","IdealDiode4.p.v","IdealDiode5.n.i","IdealDiode5.n.v","IdealDiode5.p.i","IdealDiode5.p.v","IdealDiode6.n.i","IdealDiode6.n.v","IdealDiode6.p.i","IdealDiode6.p.v","Inductor1.n.i","Inductor1.n.v","Inductor1.p.i","Inductor2.n.i","Inductor2.n.v","Inductor2.p.i","Inductor3.i","Inductor3.n.i","Inductor3.n.v","Inductor3.p.i","Ldc.n.i","Ldc.n.v","Ldc.p.i","Ldc.p.v","Rdc.i","Rdc.n.i","Rdc.n.v","Rdc.p.i","Rdc.p.v","SineVoltage1.i","SineVoltage1.n.i","SineVoltage1.p.i","SineVoltage1.p.v","SineVoltage1.signalSource.y","SineVoltage2.i","SineVoltage2.n.i","SineVoltage2.n.v","SineVoltage2.p.i","SineVoltage2.p.v","SineVoltage2.signalSource.y","SineVoltage3.i","SineVoltage3.n.i","SineVoltage3.n.v","SineVoltage3.p.i","SineVoltage3.p.v","SineVoltage3.signalSource.y","pDC.currentSensor.i","pDC.currentSensor.n.i","pDC.currentSensor.n.v","pDC.currentSensor.p.i","pDC.currentSensor.p.v","pDC.nc.i","pDC.nc.v","pDC.nv.i","pDC.nv.v","pDC.pc.i","pDC.pc.v","pDC.product.u2","pDC.product.y","pDC.pv.i","pDC.pv.v","pDC.voltageSensor.n.v","pDC.voltageSensor.p.v","pDC.voltageSensor.v"
0,0,0,0,6.262376296540929e-010,-4714045.207910317,-0,4714045.207910318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.757425777924558e-014,3.757425777924558e-014,-282.842712474619,-282.842712474619,282.8427124746191,282.8427124746191,-0,0,0,10,0,3.757425777924558e-014,0,-282.8427124746191,282.842712474619,0,0,-0,-0,-0,0,0,0,0,0,-0,1,1,1,1,1,1,-0,-0,0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,0,0,-0,-0,0,0,-0,-0,0,0,-0,-0,0,-0,-0,0,-0,0,-0,-0,-0,0,0,-0,0,-0,-0,0,-0,-0,0,-0,3.757425777924558e-014,0,-0,0,3.757425777924558e-014,-0,-282.842712474619,-282.8427124746191,0,-0,3.757425777924558e-014,0,282.8427124746191,282.842712474619,0,-0,-0,0,-0,-0,-0,0,0,0,-0,0,-0,0,-0,0,-0,-0
3.399000842391012e-010,1.003123016858425e-010,-0.001600000020000068,-7.853712120617617e-022,0.5804157909304107,-4700712.165036155,2.220603123492725e-015,4700711.584620364,0,0,2.515639469326067e-018,5.01561508254797e-011,5.015615089920544e-008,0.0006400000160000547,-0.0008000000100000342,-0.8000000100000342,0.0006399999357502149,0.0007999999598438833,0.7999999598438833,2.515639471075668e-018,-5.015615086036278e-011,-5.015615089920544e-008,0.0006400000160000546,0.0008000000100000342,0.8000000100000341,0.000639999935750215,-0.0007999999598438833,-0.7999999598438834,3.487510360672385e-005,3.482494745582464e-005,-282.8427299121693,-282.0427299021693,282.8426950370657,282.0426950772218,1.110301561746363e-016,0.002559999903500545,6.168079407353606e-042,10,-7.853712120617617e-021,-1.830509669768314e-014,3.487510362502894e-005,-282.8427299121693,282.8426950370657,1.003123016858425e-010,-0.001600000020000068,0.001599999919687767,-8.719372025087343e-038,1.110223024625157e-016,0,0,0.800000060156185,-1.599999969843918,0.7999999096877325,0,1,1,1,1,1,1,-5.01561508254797e-011,1.110223024625157e-016,5.01561508254797e-011,5.015615089920544e-008,0.0008000000100000342,1.110223024625157e-016,-0.0008000000100000342,-0.8000000100000341,-0.0007999999598438833,1.110223024625157e-016,0.0007999999598438833,0.7999999598438834,5.015615086036278e-011,5.015615089920544e-008,-5.015615086036278e-011,0,-0.0008000000100000342,-0.8000000100000341,0.0008000000100000342,0,0.0007999999598438833,0.7999999598438834,-0.0007999999598438833,0,-1.003123016858425e-010,5.015615089920544e-008,1.003123016858425e-010,0.001600000020000068,-0.8000000100000341,-0.001600000020000068,0.001599999919687767,-0.001599999919687767,0.7999999598438834,0.001599999919687767,7.853712120617617e-022,0,-7.853712120617617e-022,1.110301561746363e-016,-7.853712120617617e-022,7.853712120617617e-022,1.110301561746363e-016,-7.853712120617617e-022,1.110223024625157e-016,-1.003123016858425e-010,1.003123016858425e-010,-1.003123016858425e-010,3.487510360672385e-005,3.487510362502894e-005,0.001600000020000068,-0.001600000020000068,-1.830509669768314e-014,0.001600000020000068,-282.8427299121693,-282.8427299121693,-0.001599999919687767,0.001599999919687767,-1.830509669768314e-014,-0.001599999919687767,282.8426950370657,282.8426950370657,-7.853712120617617e-022,7.853712120617617e-022,1.110223024625157e-016,-7.853712120617617e-022,1.110223024625157e-016,7.853712120617617e-022,1.110223024625157e-016,0,0,-7.853712120617617e-022,1.110223024625157e-016,-7.853712120617617e-022,-8.719372025087343e-038,0,1.110223024625157e-016,0,1.110223024625157e-016,1.110223024625157e-016
3.399000842391012e-010,1.003123016858425e-010,-0.001600000020000068,-7.853712120617617e-022,0.5804574573780539,-4700712.16511949,1.000001881303242e-007,4700711.58466203,0,0,2.27110826136283e-018,4.765614606497964e-011,4.765614614044011e-008,0.0006400000080000393,-0.0008000000050000246,-0.8000000050000244,0.0006399999317502076,0.0007999999573438786,0.7999999573438786,2.772670720876478e-018,-5.265615562086283e-011,-5.265615554694847e-008,0.000640000012000047,0.0008000000150000437,0.800000000000015,0.0006399999397502223,-0.0007999999623438881,-0.799999962343888,3.488010359823019e-005,3.482744744268324e-005,-282.8427299071694,-282.0427299071694,282.8426950420657,282.0426950797218,5.000009406516209e-009,0.002559999891500521,6.168079407353606e-042,10,-7.853712120617617e-021,4.999973201241422e-009,3.487510362502894e-005,-282.8427299121693,282.8426950370657,1.003123016858425e-010,-0.001600000020000068,0.001599999919687767,-3.926863447909676e-030,5.000009406508355e-009,0,0,0.8000000526561706,-1.599999962343903,0.7999999096877325,5.000009406508355e-009,1,1,1,1,0,1,-4.765614606497964e-011,5.000009406508355e-009,4.765614606497964e-011,5.265615554694847e-008,0.0008000000050000246,5.000009406508355e-009,-0.0008000000050000246,-0.800000000000015,-0.0007999999573438786,5.000009406508355e-009,0.0007999999573438786,0.799999962343888,5.265615562086283e-011,5.265615554694847e-008,-5.265615562086283e-011,0,-0.0008000000150000437,-0.800000000000015,0.0008000000150000437,0,0.0007999999623438881,0.799999962343888,-0.0007999999623438881,0,-1.003123016858425e-010,5.265615554694847e-008,1.003123016858425e-010,0.001600000020000068,-0.800000000000015,-0.001600000020000068,0.001599999919687767,-0.001599999919687767,0.799999962343888,0.001599999919687767,7.853712120617617e-022,0,-7.853712120617617e-022,5.000009406516209e-009,-7.853712120617617e-022,7.853712120617617e-022,5.000009406516209e-009,-7.853712120617617e-022,5.000009406508355e-009,-1.003123016858425e-010,1.003123016858425e-010,-1.003123016858425e-010,3.488010359823019e-005,3.487510362502894e-005,0.001600000020000068,-0.001600000020000068,4.999973201241422e-009,0.001600000020000068,-282.8427299071694,-282.8427299121693,-0.001599999919687767,0.001599999919687767,4.999973201241422e-009,-0.001599999919687767,282.8426950420657,282.8426950370657,-7.853712120617617e-022,7.853712120617617e-022,5.000009406508355e-009,-7.853712120617617e-022,5.000009406508355e-009,7.853712120617617e-022,5.000009406508355e-009,0,0,-7.853712120617617e-022,5.000009406508355e-009,-7.853712120617617e-022,-3.926863447909676e-030,0,5.000009406508355e-009,0,5.000009406508355e-009,5.000009406508355e-009
3.399001141142081e-010,1.003177174637124e-010,-0.00160000016042355,1.29551984653991e-017,0.5807500130359876,-4700712.164534414,8.021164151397186e-007,4700711.583784402,1.084202172485504e-019,0,9.063681204752882e-019,3.010594822484142e-011,3.010594828989355e-008,0.0006400000641695078,-0.0008000000401059414,-0.8000000401059413,0.0006400000160000098,0.0008000000100000061,0.800000010000006,4.929692535268478e-018,-7.021176923887095e-011,-7.021176917643146e-008,0.0006400000962541835,0.000800000120317609,0.8000000000001204,0.0006400000801693254,-0.0008000000501058269,-0.8000000501058269,3.491521255133569e-005,3.484500078215926e-005,-282.842729872065,-282.0427298720649,282.84269507717,282.0426950270642,4.010582075698593e-008,0.002560000256593032,1.678371672778791e-033,10,1.29551984653991e-016,4.010586100169652e-008,3.487510669033399e-005,-282.8427299121709,282.8426950370641,1.003177174637124e-010,-0.00160000016042355,0.001600000060105833,5.19578869202847e-025,4.010582088653791e-008,0,0,0.8000000702118896,-1.600000050105947,0.7999999798940577,4.010582088653791e-008,1,1,1,1,0,1,-3.010594822484142e-011,4.010582088653791e-008,3.010594822484142e-011,7.021176917643146e-008,0.0008000000401059414,4.010582088653791e-008,-0.0008000000401059414,-0.8000000000001204,-0.0008000000100000061,4.010582088653791e-008,0.0008000000100000061,0.8000000501058269,7.021176923887095e-011,7.021176917643146e-008,-7.021176923887095e-011,0,-0.000800000120317609,-0.8000000000001204,0.000800000120317609,0,0.0008000000501058269,0.8000000501058269,-0.0008000000501058269,0,-1.003177174637124e-010,7.021176917643146e-008,1.003177174637124e-010,0.00160000016042355,-0.8000000000001204,-0.00160000016042355,0.001600000060105833,-0.001600000060105833,0.8000000501058269,0.001600000060105833,-1.29551984653991e-017,0,1.29551984653991e-017,4.010582075698593e-008,1.29551984653991e-017,-1.29551984653991e-017,4.010582075698593e-008,1.29551984653991e-017,4.010582088653791e-008,-1.003177174637124e-010,1.003177174637124e-010,-1.003177174637124e-010,3.491521255133569e-005,3.487510669033399e-005,0.00160000016042355,-0.00160000016042355,4.010586100169652e-008,0.00160000016042355,-282.842729872065,-282.8427299121709,-0.001600000060105833,0.001600000060105833,4.010586100169652e-008,-0.001600000060105833,282.84269507717,282.8426950370641,1.29551984653991e-017,-1.29551984653991e-017,4.010582088653791e-008,1.29551984653991e-017,4.010582088653791e-008,-1.29551984653991e-017,4.010582088653791e-008,0,0,1.29551984653991e-017,4.010582088653791e-008,1.29551984653991e-017,5.19578869202847e-025,0,4.010582088653791e-008,0,4.010582088653791e-008,4.010582088653791e-008
3.399001141142081e-010,1.003177174637124e-010,-0.00160000016042355,1.29551984653991e-017,0.5806944574359982,-4700712.164556637,8.82116364027351e-007,4700711.58386218,1.084202172485504e-019,0,7.899444001515067e-019,2.810594953387563e-011,2.810594956770274e-008,0.0006400000705694978,-0.0008000000441059351,-0.8000000441059347,0.0006400000128000115,0.0008000000159999985,0.800000000000016,5.214539425298546e-018,-7.221176792983673e-011,-7.221176789862227e-008,0.0006400000930541854,0.0008000001163176153,0.8000000000001164,0.000640000070569337,-0.0008000000441058345,-0.8000000441058344,3.491387921405851e-005,3.484166744615989e-005,-282.8427298733984,-282.0427298733982,282.8426950758366,282.0426950317308,4.410581820136755e-008,0.002560000246993038,1.678371672778791e-033,10,1.29551984653991e-016,3.877252372452252e-008,3.487510669033399e-005,-282.8427299121709,282.8426950370641,1.003177174637124e-010,-0.00160000016042355,0.001600000060105833,5.713996299559e-025,4.410581833091953e-008,0,0,0.8000000722118843,-1.600000044105951,0.7999999718940665,4.410581833091953e-008,1,1,0,1,0,1,-2.810594953387563e-011,4.410581833091953e-008,2.810594953387563e-011,7.221176789862227e-008,0.0008000000441059351,4.410581833091953e-008,-0.0008000000441059351,-0.8000000000001164,-0.0008000000159999985,4.410581833091953e-008,0.0008000000159999985,0.8000000441058344,7.221176792983673e-011,7.221176789862227e-008,-7.221176792983673e-011,0,-0.0008000001163176153,-0.8000000000001164,0.0008000001163176153,0,0.0008000000441058345,0.8000000441058344,-0.0008000000441058345,0,-1.003177174637124e-010,7.221176789862227e-008,1.003177174637124e-010,0.00160000016042355,-0.8000000000001164,-0.00160000016042355,0.001600000060105833,-0.001600000060105833,0.8000000441058344,0.001600000060105833,-1.29551984653991e-017,0,1.29551984653991e-017,4.410581820136755e-008,1.29551984653991e-017,-1.29551984653991e-017,4.410581820136755e-008,1.29551984653991e-017,4.410581833091953e-008,-1.003177174637124e-010,1.003177174637124e-010,-1.003177174637124e-010,3.491387921405851e-005,3.487510669033399e-005,0.00160000016042355,-0.00160000016042355,3.877252372452252e-008,0.00160000016042355,-282.8427298733984,-282.8427299121709,-0.001600000060105833,0.001600000060105833,3.877252372452252e-008,-0.001600000060105833,282.8426950758366,282.8426950370641,1.29551984653991e-017,-1.29551984653991e-017,4.410581833091953e-008,1.29551984653991e-017,4.410581833091953e-008,-1.29551984653991e-017,4.410581833091953e-008,0,0,1.29551984653991e-017,4.410581833091953e-008,1.29551984653991e-017,5.713996299559e-025,0,4.410581833091953e-008,0,4.410581833091953e-008,4.410581833091953e-008
0.0001,0.03072070434747082,-2.533841010667031,1.110675057049352,307.7655656625211,-11168.1118230818,11027.47852977325,10860.34625741945,2.220446049250313e-016,0,70.69216714458302,-0.2658799863558425,-265.8799863558426,317.2873402057508,-0.5632826468175198,-563.2826468175199,1.555631570572391,1.939837690222714,0.8019390376902038,87.97196972568256,-0.2966006907033134,-296.6006907033134,1.580328214898255,1.970558363849511,0.8019697583638495,317.287305596907,-0.5632826160968462,-563.2826160968463,296.6191566372531,0.01846593393975127,-1.472056467748757,-0.6700867093849078,563.9342368722914,0.6516207754451671,551.3739264886625,796.3747424583941,12.33599082351581,10,11.10675057049352,286.3604456805986,10.25871095665451,-287.8325021483474,277.5737911916929,0.03072070434747082,-2.533841010667031,2.50312030631956,624.7332580818363,562.4806770591561,0,0,297.4026604616772,-564.0845858552101,266.6819253935329,562.4806770591559,1,1,0,1,0,1,0.2658799863558425,562.4806770591561,-0.2658799863558425,296.6006907033134,0.5632826468175198,562.4806770591561,-0.5632826468175198,-0.8019697583638495,-1.939837690222714,562.4806770591561,1.939837690222714,563.2826160968463,0.2966006907033134,296.6006907033134,-0.2966006907033134,0,-1.970558363849511,-0.8019697583638495,1.970558363849511,0,0.5632826160968462,563.2826160968463,-0.5632826160968462,0,-0.03072070434747082,296.6006907033134,0.03072070434747082,2.533841010667031,-0.8019697583638495,-2.533841010667031,2.50312030631956,-2.50312030631956,563.2826160968463,2.50312030631956,-1.110675057049352,0,1.110675057049352,551.3739264886625,1.110675057049352,-1.110675057049352,551.3739264886625,1.110675057049352,562.4806770591561,-0.03072070434747082,0.03072070434747082,-0.03072070434747082,296.6191566372531,10.25871095665451,2.533841010667031,-2.533841010667031,286.3604456805986,2.533841010667031,-1.472056467748757,-287.8325021483474,-2.50312030631956,2.50312030631956,286.3604456805986,-2.50312030631956,563.9342368722914,277.5737911916929,1.110675057049352,-1.110675057049352,562.4806770591561,1.110675057049352,562.4806770591561,-1.110675057049352,562.4806770591561,0,0,1.110675057049352,562.4806770591561,1.110675057049352,624.7332580818363,0,562.4806770591561,0,562.4806770591561,562.4806770591561
0.0002,0.06146644263650723,-3.638235870116617,2.201718609194291,307.7183863534098,-10919.73474240057,10793.07988733893,10612.01635604903,-4.440892098500626e-016,0,62.55119493498958,-0.2501023689111912,-250.1023689111912,316.3772880108506,-0.5624742554205042,-562.4742554205043,2.42051975113964,3.014295233525987,0.8030134952335857,97.07512432924523,-0.3115688115476984,-311.5688115476984,2.470067140658037,3.075761614696113,0.8030749616146962,316.3772188643405,-0.5624741939541231,-562.4741939541232,311.5872746508796,0.01846310318120459,-1.45825904615873,-0.655184084544034,563.1109149354861,0.6367209813629415,539.6539943669467,797.2714130312236,48.47564834072443,10,22.01718609194291,291.0799768467356,20.50729780414399,-292.5382358928944,272.0309380887504,0.06146644263650723,-3.638235870116617,3.57676942748011,1236.641890264462,561.6711804588896,0,0,312.3718865093131,-563.2772689157379,250.9053824064247,561.6711804588897,1,1,0,1,0,1,0.2501023689111912,561.6711804588896,-0.2501023689111912,311.5688115476984,0.5624742554205042,561.6711804588896,-0.5624742554205042,-0.8030749616146962,-3.014295233525987,561.6711804588896,3.014295233525987,562.4741939541232,0.3115688115476984,311.5688115476984,-0.3115688115476984,0,-3.075761614696113,-0.8030749616146962,3.075761614696113,0,0.5624741939541231,562.4741939541232,-0.5624741939541231,0,-0.06146644263650723,311.5688115476984,0.06146644263650723,3.638235870116617,-0.8030749616146962,-3.638235870116617,3.57676942748011,-3.57676942748011,562.4741939541232,3.57676942748011,-2.201718609194291,0,2.201718609194291,539.6539943669467,2.201718609194291,-2.201718609194291,539.6539943669467,2.201718609194291,561.6711804588896,-0.06146644263650723,0.06146644263650723,-0.06146644263650723,311.5872746508796,20.50729780414399,3.638235870116617,-3.638235870116617,291.0799768467356,3.638235870116617,-1.45825904615873,-292.5382358928944,-3.57676942748011,3.57676942748011,291.0799768467356,-3.57676942748011,563.1109149354861,272.0309380887504,2.201718609194291,-2.201718609194291,561.6711804588896,2.201718609194291,561.6711804588896,-2.201718609194291,561.6711804588896,0,0,2.201718609194291,561.6711804588896,2.201718609194291,1236.641890264462,0,561.6711804588896,0,561.6711804588896,561.6711804588896
0.0003,0.09215113262928165,-4.717346495655768,3.26889932862141,309.5249633806437,-10665.77488289099,10552.32719024998,10356.24991951067,0,0,54.79209346561213,-0.2340771100847157,-234.0771100847157,314.8438802325098,-0.5611095082357007,-561.1095082357006,3.267782300869051,4.064085946941827,0.8040632859469952,106.4248663442628,-0.3262282427139974,-326.2282427139974,3.342260570842063,4.156236987420067,0.8041554369874201,314.8437768188682,-0.56110941608466,-561.1094160846601,326.2468142118002,0.01857149780283862,-1.44410192996088,-0.6399464929734596,561.7307910798307,0.6213749951706404,527.616359512499,797.5146597329639,106.8570282066151,10,32.6889932862141,295.5111677872234,30.73564642457685,-296.9552697171843,266.2196232926074,0.09215113262928165,-4.717346495655768,4.625195363026487,1831.581791586696,560.3053527987131,0,0,327.0323981509848,-561.9135715216476,234.8811733706627,560.3053527987131,1,1,0,1,0,1,0.2340771100847157,560.3053527987131,-0.2340771100847157,326.2282427139974,0.5611095082357007,560.3053527987131,-0.5611095082357007,-0.8041554369874201,-4.064085946941827,560.3053527987131,4.064085946941827,561.1094160846601,0.3262282427139974,326.2282427139974,-0.3262282427139974,0,-4.156236987420067,-0.8041554369874201,4.156236987420067,0,0.56110941608466,561.1094160846601,-0.56110941608466,0,-0.09215113262928165,326.2282427139974,0.09215113262928165,4.717346495655768,-0.8041554369874201,-4.717346495655768,4.625195363026487,-4.625195363026487,561.1094160846601,4.625195363026487,-3.26889932862141,0,3.26889932862141,527.616359512499,3.26889932862141,-3.26889932862141,527.616359512499,3.26889932862141,560.3053527987131,-0.09215113262928165,0.09215113262928165,-0.09215113262928165,326.2468142118002,30.73564642457685,4.717346495655768,-4.717346495655768,295.5111677872234,4.717346495655768,-1.44410192996088,-296.9552697171843,-4.625195363026487,4.625195363026487,295.5111677872234,-4.625195363026487,561.7307910798307,266.2196232926074,3.26889932862141,-3.26889932862141,560.3053527987131,3.26889932862141,560.3053527987131,-3.26889932862141,560.3053527987131,0,0,3.26889932862141,560.3053527987131,3.26889932862141,1831.581791586696,0,560.3053527987131,0,560.3053527987131,560.3053527987131
0.0004,0.1227450093322957,-5.770612899498698,4.311668750902565,310.310783680734,-10405.06988037433,10305.35701324804,10094.7590966958,0,0,47.44544977179525,-0.2178197644195661,-217.819764419566,312.6931751569437,-0.5591897487945783,-559.1897487945786,4.096833186826311,5.08867826411671,0.8050878782640893,115.9843651206568,-0.3405647737518618,-340.5647737518617,4.19629328268047,5.211423150704119,0.8052106231507041,312.6930378815943,-0.5591896260496919,-559.1896260496919,340.5833923988826,0.01861864702084404,-1.429514815973164,-0.6243041928224598,559.7953115954937,0.6056855458017481,515.2678506624022,797.1091544004968,185.9048741750969,10,43.11668750902565,299.6497297261344,40.93366267274821,-301.0792445421075,260.1455818693593,0.1227450093322957,-5.770612899498698,5.647867890166402,2407.569164220906,558.3845381714278,0,0,341.3699843750124,-559.9948366728427,218.6248522978302,558.3845381714277,1,1,0,1,0,1,0.2178197644195661,558.3845381714278,-0.2178197644195661,340.5647737518617,0.5591897487945783,558.3845381714278,-0.5591897487945783,-0.8052106231507041,-5.08867826411671,558.3845381714278,5.08867826411671,559.1896260496919,0.3405647737518618,340.5647737518617,-0.3405647737518618,0,-5.211423150704119,-0.8052106231507041,5.211423150704119,0,0.5591896260496919,559.1896260496919,-0.5591896260496919,0,-0.1227450093322957,340.5647737518617,0.1227450093322957,5.770612899498698,-0.8052106231507041,-5.770612899498698,5.647867890166402,-5.647867890166402,559.1896260496919,5.647867890166402,-4.311668750902565,0,4.311668750902565,515.2678506624022,4.311668750902565,-4.311668750902565,515.2678506624022,4.311668750902565,558.3845381714278,-0.1227450093322957,0.1227450093322957,-0.1227450093322957,340.5833923988826,40.93366267274821,5.770612899498698,-5.770612899498698,299.6497297261344,5.770612899498698,-1.429514815973164,-301.0792445421075,-5.647867890166402,5.647867890166402,299.6497297261344,-5.647867890166402,559.7953115954937,260.1455818693593,4.311668750902565,-4.311668750902565,558.3845381714278,4.311668750902565,558.3845381714278,-4.311668750902565,558.3845381714278,0,0,4.311668750902565,558.3845381714278,4.311668750902565,2407.569164220906,0,558.3845381714278,0,558.3845381714278,558.3845381714278
0.0005,0.1532178092219138,-6.797431146510429,5.329433312253024,310.4698553215712,-10137.99194319574,10052.32616183398,9827.522087872845,0,0,40.54037923449785,-0.2013464159961579,-201.3464159961578,309.9336857334384,-0.5567168811284944,-556.7168811284948,4.907050032473731,6.087496609377676,0.8060866966093272,125.7157898044914,-0.3545642252180716,-354.5642252180716,5.031512934276278,6.240714265381935,0.806239914265382,309.9335151357509,-0.5567167279108387,-556.7167279108388,354.5828534093909,0.01862819131929427,-1.414519430857126,-0.6082795165917443,557.3063792361112,0.5896513252723707,502.6163080916992,796.0619328749286,284.0285942975224,10,53.29433312253024,303.4915710715483,51.09128233784255,-304.9060905024055,253.8148081645629,0.1532178092219138,-6.797431146510429,6.644213337288515,2962.688689923054,555.9106412142295,0,0,355.370465132337,-557.5229678251042,202.1525026927673,555.9106412142294,1,1,0,1,0,1,0.2013464159961579,555.9106412142295,-0.2013464159961579,354.5642252180716,0.5567168811284944,555.9106412142295,-0.5567168811284944,-0.806239914265382,-6.087496609377676,555.9106412142295,6.087496609377676,556.7167279108388,0.3545642252180716,354.5642252180716,-0.3545642252180716,0,-6.240714265381935,-0.806239914265382,6.240714265381935,0,0.5567167279108387,556.7167279108388,-0.5567167279108387,0,-0.1532178092219138,354.5642252180716,0.1532178092219138,6.797431146510429,-0.806239914265382,-6.797431146510429,6.644213337288515,-6.644213337288515,556.7167279108388,6.644213337288515,-5.329433312253024,0,5.329433312253024,502.6163080916992,5.329433312253024,-5.329433312253024,502.6163080916992,5.329433312253024,555.9106412142295,-0.1532178092219138,0.1532178092219138,-0.1532178092219138,354.5828534093909,51.09128233784255,6.797431146510429,-6.797431146510429,303.4915710715483,6.797431146510429,-1.414519430857126,-304.9060905024055,-6.644213337288515,6.644213337288515,303.4915710715483,-6.644213337288515,557.3063792361112,253.8148081645629,5.329433312253024,-5.329433312253024,555.9106412142295,5.329433312253024,555.9106412142295,-5.329433312253024,555.9106412142295,0,0,5.329433312253024,555.9106412142295,5.329433312253024,2962.688689923054,0,555.9106412142295,0,555.9106412142295,555.9106412142295
